zip_code,week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp,objectid
19130,3/27/2022 12:00:00 AM,22,41,68,,2023/11/16 13:10:00+00,66
19122,5/15/2022 12:00:00 AM,6,13,25,,2023/11/16 13:10:00+00,67
19146,6/6/2021 12:00:00 AM,13,417,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,68
19144,6/5/2022 12:00:00 AM,22,28,61,,2023/11/16 13:10:00+00,69
19149,6/19/2022 12:00:00 AM,43,34,57,,2023/11/16 13:10:00+00,70
19137,3/6/2022 12:00:00 AM,,,18,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,71
19146,12/27/2020 12:00:00 AM,12,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,72
19120,4/17/2022 12:00:00 AM,40,76,86,,2023/11/16 13:10:00+00,73
19133,8/8/2021 12:00:00 AM,42,178,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,74
19134,5/29/2022 12:00:00 AM,29,28,55,,2023/11/16 13:10:00+00,75
19128,1/24/2021 12:00:00 AM,21,451,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,76
19112,11/7/2021 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,77
19103,12/27/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,78
19138,2/14/2021 12:00:00 AM,12,170,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,79
19119,7/17/2022 12:00:00 AM,52,52,55,,2023/11/16 13:10:00+00,80
19102,6/27/2021 12:00:00 AM,9,19,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,81
19150,2/28/2021 12:00:00 AM,27,332,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,82
19115,3/21/2021 12:00:00 AM,66,1388,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,83
19153,3/14/2021 12:00:00 AM,20,255,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,84
